time,pr,tas,tasmax,tasmin,evspsblpot
1981-01-01,0.0,270.73,276.46933,268.70932,3.3374e-06
1981-01-02,8.757646e-06,271.79,274.4608,268.88077,3.3555e-06
1981-01-03,0.0,271.69,273.66428,267.41428,2.4631e-06
1981-01-04,0.0,275.55,282.9608,269.6408,1.2061e-05
1981-01-05,0.0,272.08,274.9608,269.08078,1.3257e-05
1981-01-06,0.0,272.3,276.07935,268.21933,8.0479e-06
1981-01-07,0.0,273.59,279.99408,270.06406,3.3394e-06
1981-01-08,0.0,274.76,281.47546,270.1555,3.0517e-06
1981-01-09,0.0,272.56,276.5644,267.36438,3.4111e-06
1981-01-10,0.0,271.68,277.61533,266.58533,1.0742e-05
1981-01-11,1.9136087e-05,272.37,276.57172,267.05173,5.1082e-06
1981-01-12,2.011437e-06,276.83,283.85443,273.19443,9.687e-06
1981-01-13,0.0,272.52,275.88232,269.86234,4.2243e-06
1981-01-14,0.0,270.59,276.1404,267.77042,4.1142e-06
1981-01-15,0.0,270.25,274.46655,268.57657,2.3316e-06
1981-01-16,0.0,271.02,278.49927,267.88928,3.3925e-06
1981-01-17,7.9751684e-05,266.01,268.01935,264.99933,3.648e-06
1981-01-18,7.075427e-05,268.64,271.96136,266.94138,4.8391e-06
1981-01-19,0.0,266.02,268.75632,262.22632,1.9535e-06
1981-01-20,5.8292267e-06,268.89,272.86038,260.35037,2.8733e-06
1981-01-21,0.0,269.48,276.4265,265.5965,2.5307e-06
1981-01-22,1.9573285e-06,269.74,275.7057,265.2657,5.304e-06
1981-01-23,9.754072e-08,273.05,278.0804,268.46042,6.2335e-06
1981-01-24,0.0,273.48,282.0095,266.1595,4.8371e-06
1981-01-25,0.0,275.49,282.55026,269.06024,3.8603e-06
1981-01-26,3.4828434e-05,280.17,283.47174,276.36172,5.7323e-06
1981-01-27,0.00016830294,276.27,280.58057,275.12057,4.8233e-06
1981-01-28,0.0,276.15,279.59705,272.34705,3.6322e-06
1981-01-29,0.0,276.91,280.7214,275.0014,3.6579e-06
1981-01-30,0.0,275.24,281.98123,268.25122,4.3637e-06
1981-01-31,0.0,275.28,283.72543,269.51544,7.8246e-06
1981-02-01,1.3769347e-06,276.45,278.59818,274.0182,5.5523e-06
1981-02-02,0.0,276.16,279.16934,270.44934,1.1655e-05
1981-02-03,0.0,276.2,281.0772,271.40723,2.1687e-05
1981-02-04,0.0,275.32,283.84872,269.34872,1.0243e-05
1981-02-05,0.0,274.58,280.3724,270.6524,1.2874e-05
1981-02-06,0.0,273.98,278.43912,269.4291,1.2245e-05
1981-02-07,0.0,269.56,274.82108,260.89108,8.9153e-06
1981-02-08,0.0,266.16,268.54333,264.50333,7.2973e-06
1981-02-09,0.0,266.23,269.38217,263.07217,8.0511e-06
1981-02-10,0.0,266.58,273.8291,259.6391,8.3378e-06
1981-02-11,0.0,269.21,278.2692,259.2792,6.1915e-06
1981-02-12,0.0,276.81,286.2804,266.14038,1.8268e-05
1981-02-13,0.0,278.99,289.6102,269.8102,1.7972e-05
1981-02-14,0.0,279.53,293.24576,268.08575,1.8241e-05
1981-02-15,0.0,277.29,286.46417,269.96417,1.2509e-05
1981-02-16,0.0,275.52,285.10443,269.00443,1.2812e-05
1981-02-17,5.584476e-07,277.7,284.84744,272.56744,1.4928e-05
1981-02-18,1.4535435e-06,274.12,278.41605,270.35605,1.8103e-05
1981-02-19,0.0,272.28,275.8205,268.5905,1.3536e-05
1981-02-20,2.0637293e-07,268.48,271.7342,267.03418,1.3428e-05
1981-02-21,0.0,268.48,274.22433,263.18433,1.0795e-05
1981-02-22,0.0,271.16,279.63376,262.10376,1.151e-05
1981-02-23,0.0,275.4,284.68274,269.95273,1.5775e-05
1981-02-24,2.4439277e-08,277.1,287.07996,269.10995,9.9114e-06
1981-02-25,0.0,277.74,287.19937,270.9394,1.0572e-05
1981-02-26,0.0,278.96,289.85236,270.95236,1.2784e-05
1981-02-27,0.0,278.23,287.0709,271.2909,1.3276e-05
1981-02-28,0.0,278.65,288.52136,270.13138,2.0506e-05
1981-03-01,0.0,278.9,286.6945,271.6045,1.4719e-05
1981-03-02,0.0,279.63,290.16068,270.91068,1.6285e-05
1981-03-03,2.4367716e-06,278.22,284.0284,272.0584,2.7729e-05
1981-03-04,1.0608367e-05,277.04,285.42993,272.4399,4.8845e-05
1981-03-05,0.0,276.13,280.37537,273.92535,3.7805e-05
1981-03-06,0.0,273.42,276.47668,270.50668,2.7679e-05
1981-03-07,0.0,272.65,276.9672,268.85718,2.7621e-05
1981-03-08,0.0,275.13,284.60672,267.0067,1.9984e-05
1981-03-09,0.0,277.74,285.89883,269.71884,1.6818e-05
1981-03-10,4.441897e-07,278.91,281.63983,275.4298,7.8755e-06
1981-03-11,1.00043235e-05,281.0,283.99734,277.62735,1.0686e-05
1981-03-12,9.947795e-06,278.9,281.94925,274.73926,8.2671e-06
1981-03-13,5.4027473e-06,282.35,285.8551,279.17508,1.4786e-05
1981-03-14,7.991544e-06,283.32,285.4386,281.5186,1.1538e-05
1981-03-15,0.00026544032,281.15,282.94476,279.99475,8.022e-06
1981-03-16,0.0,282.22,290.73944,273.11945,1.8277e-05
1981-03-17,1.0076542e-05,282.86,285.25806,280.40805,1.1799e-05
1981-03-18,0.0,281.47,291.05835,271.97836,2.0919e-05
1981-03-19,2.4413077e-06,279.88,284.80566,274.84567,1.2038e-05
1981-03-20,8.2616003e-07,281.4,289.75278,273.8928,1.6072e-05
1981-03-21,0.0,283.59,287.32837,275.86835,1.2066e-05
1981-03-22,4.661583e-05,285.32,289.34543,276.36542,2.1435e-05
1981-03-23,0.0,282.2,289.11453,273.37454,2.7015e-05
1981-03-24,0.0,282.45,290.5345,272.7245,2.7953e-05
1981-03-25,0.0,282.9,290.36673,272.38672,3.1881e-05
1981-03-26,0.0,283.99,291.4319,276.4719,2.7204e-05
1981-03-27,0.000293345,280.8,281.46872,279.3987,8.2883e-06
1981-03-28,9.115092e-05,277.55,279.5336,276.8136,1.021e-05
1981-03-29,2.2311647e-06,278.75,284.24265,275.26266,1.6131e-05
1981-03-30,0.0,282.29,289.0818,271.89178,2.3444e-05
1981-03-31,1.6101132e-05,283.1,284.87103,282.43106,1.5142e-05
1981-04-01,5.841635e-05,278.12,279.87476,275.39474,1.0259e-05
1981-04-02,1.0908202e-05,278.56,284.11234,274.21234,2.1733e-05
1981-04-03,0.0,280.05,287.3536,273.47363,2.5718e-05
