time,pr,tas,tasmax,tasmin,evspsblpot
1981-01-01,0.0,269.77618,273.5895,264.14432,2.3627065e-06
1981-01-02,0.0,273.40155,278.70483,267.8817,3.554183e-06
1981-01-03,0.0,276.67004,279.51318,269.33743,8.5041975e-06
1981-01-04,0.0,275.73843,278.7537,273.5385,2.535105e-06
1981-01-05,8.182206e-05,273.9155,277.81406,271.7058,1.11155805e-05
1981-01-06,0.0,268.89502,273.84116,266.00977,3.71289e-06
1981-01-07,0.0,268.13098,272.65842,263.055,5.8322094e-06
1981-01-08,0.0,266.88666,271.4666,262.16467,5.656724e-06
1981-01-09,0.0,262.97794,270.37158,259.2469,3.688707e-06
1981-01-10,0.0,262.87933,270.88116,255.63779,1.9806387e-06
1981-01-11,0.0,265.9113,269.72266,258.56018,2.3148148e-06
1981-01-12,0.0,268.36072,274.28992,261.8185,3.4776465e-06
1981-01-13,1.545872e-05,271.8347,273.88287,268.4907,3.398937e-06
1981-01-14,0.00018950277,268.53854,275.12326,264.78253,3.3520555e-06
1981-01-15,0.0,269.87778,272.90063,259.80746,2.3243895e-06
1981-01-16,1.6128834e-06,266.3906,273.98184,261.01447,2.8164895e-06
1981-01-17,0.0,266.13266,275.0574,256.8464,2.3148148e-06
1981-01-18,0.0,268.14185,276.44943,261.56006,3.1665743e-06
1981-01-19,0.0,267.00723,273.94116,260.8493,2.8393658e-06
1981-01-20,7.33693e-07,268.135,273.28638,261.95224,2.5843194e-06
1981-01-21,0.0,272.21466,278.05533,263.21616,6.561784e-06
1981-01-22,0.0,270.15994,275.64117,265.57812,6.2453164e-06
1981-01-23,0.0,267.78598,274.14755,263.29874,3.246036e-06
1981-01-24,0.0,266.78018,274.7876,260.0043,3.2757055e-06
1981-01-25,0.0,267.09625,275.04236,259.07703,3.4722223e-06
1981-01-26,0.0,273.07376,278.4079,264.89844,6.8200934e-06
1981-01-27,0.0,269.64496,276.69583,261.75027,3.5344967e-06
1981-01-28,0.0,267.21152,274.44952,259.462,5.3587405e-06
