time,pr,tas,tasmax,tasmin,evspsblpot
1981-01-01,0.0,272.43,274.76978,268.9998,1.3006e-06
1981-01-02,1.4382875e-05,274.23,274.6713,273.8313,2.7017e-06
1981-01-03,8.945481e-05,271.42,272.2576,269.3076,2.2536e-06
1981-01-04,0.0,268.45,272.85468,265.84467,1.9212e-06
1981-01-05,0.0,268.5,276.27417,261.53418,2.3052e-06
1981-01-06,1.3276344e-05,269.81,275.20993,262.68994,2.3148e-06
1981-01-07,9.633632e-05,270.58,272.2512,266.5412,2.3194e-06
1981-01-08,6.1277056e-08,273.93,277.24887,271.41888,2.3588e-06
1981-01-09,2.8528382e-07,272.31,273.63242,265.9124,2.2478e-06
1981-01-10,0.0,266.55,274.30295,259.07294,3.3785e-06
1981-01-11,2.763993e-05,259.45,265.44467,253.96468,2.3111e-06
1981-01-12,0.0001019737,263.49,268.77884,260.09885,3.511e-06
1981-01-13,0.0,262.69,266.94797,256.94797,2.2677e-06
1981-01-14,0.0,265.16,272.1311,257.4111,1.3643e-06
1981-01-15,4.351623e-08,264.75,268.62024,263.51025,2.0894e-06
1981-01-16,3.9562e-06,269.04,275.15433,259.80432,2.2526e-06
1981-01-17,1.6463324e-05,274.06,278.05792,271.40793,5.2652e-06
1981-01-18,0.0,275.72,276.74713,275.22,2.3319e-06
1981-01-19,7.280055e-06,274.57,275.95645,273.88644,3.224e-06
1981-01-20,0.00014406299,276.64,277.5438,275.64377,2.6828e-06
1981-01-21,2.2509798e-06,273.92,275.1849,268.69492,2.244e-06
1981-01-22,0.0,271.5,276.1735,265.4835,2.3334e-06
1981-01-23,0.0,276.36,278.72653,273.68652,5.2527e-06
1981-01-24,0.0,273.7,275.45593,270.22595,3.6362e-06
1981-01-25,0.0,276.54,279.30484,274.55484,5.7255e-06
1981-01-26,0.0,274.01,276.4861,270.1061,7.702e-06
1981-01-27,0.0,272.09,276.1868,267.8968,5.8387e-06
1981-01-28,9.013092e-07,272.49,274.01218,270.22217,3.7573e-06
1981-01-29,0.0,274.87,278.811,272.42102,3.5174e-06
1981-01-30,0.0,275.25,280.89752,270.1675,6.0014e-06
1981-01-31,1.3412571e-05,273.39,280.09814,265.01816,1.4726e-05
