,pr,tas,tasmax,tasmin,evspsblpot
1981-01-01,6.960833e-05,271.96,272.7844,271.7044,3.4321e-06
1981-01-02,0.0,273.6,274.96143,273.29144,2.331e-06
1981-01-03,2.4022715e-05,274.75,282.072,270.832,4.66e-06
1981-01-04,0.0,275.69,281.0264,271.04642,8.8e-06
1981-01-05,0.0,274.71,281.1895,272.2695,2.248e-06
1981-01-06,0.0,273.44,274.06638,273.22638,2.2808e-06
1981-01-07,1.206987e-07,273.46,274.2209,272.96,3.2763e-06
1981-01-08,4.2135585e-07,271.14,272.83835,269.51837,3.4803e-06
1981-01-09,0.0,269.96,271.8049,269.54492,2.3148e-06
1981-01-10,0.0,269.65,274.8063,267.6663,2.9731e-06
1981-01-11,0.0,271.04,277.13773,264.38773,4.0457e-06
1981-01-12,0.00014996529,273.06,274.92532,270.33533,2.3158e-06
1981-01-13,0.00015287855,270.61,271.84473,269.9247,5.8487e-06
1981-01-14,4.2764215e-05,269.01,269.6568,268.51,3.6223e-06
1981-01-15,4.6509296e-05,267.79,268.8794,267.7594,5.3569e-06
1981-01-16,4.485195e-06,267.5,270.07788,264.1979,4.2008e-06
1981-01-17,0.0,264.74,267.94827,262.54825,1.7471e-06
1981-01-18,0.0,264.08,268.87955,260.34955,1.9169e-06
1981-01-19,0.0,265.68,271.78802,262.53802,2.3124e-06
1981-01-20,0.0,265.52,268.71527,263.24527,2.1082e-06
1981-01-21,0.0,263.45,266.85202,261.402,2.1602e-06
1981-01-22,0.0,265.56,268.74887,264.2689,2.3191e-06
1981-01-23,0.0,268.29,273.41077,258.66077,4.5629e-06
1981-01-24,2.9635788e-07,263.11,266.6532,257.0132,3.676e-06
1981-01-25,6.851793e-05,268.05,275.0201,259.9201,4.8354e-06
1981-01-26,0.0,269.21,274.49554,259.33554,3.7566e-06
1981-01-27,1.14150026e-07,270.56,272.69955,265.89957,3.1775e-06
1981-01-28,0.0,268.86,273.45386,263.47388,2.7859e-06
1981-01-29,3.3353544e-07,274.78,277.5395,269.74948,3.4891e-06
1981-01-30,0.0,279.48,279.66605,278.98,5.9259e-06
1981-01-31,0.0,276.93,278.18124,276.34125,4.6261e-06
1981-02-01,5.3117215e-06,274.13,276.8465,272.69647,4.4572e-06
1981-02-02,5.627953e-05,271.61,274.253,270.83298,2.8823e-06
1981-02-03,6.4153246e-05,273.38,275.99893,271.53894,2.5753e-06
1981-02-04,5.8689144e-05,271.29,272.5342,270.2242,2.8273e-06
1981-02-05,0.00023185526,274.1,276.7041,271.1141,2.3148e-06
1981-02-06,1.4002611e-05,273.3,274.96027,268.27026,3.9674e-06
1981-02-07,8.006304e-05,270.57,273.24518,267.93518,4.4701e-06
1981-02-08,0.0,267.05,272.17572,264.48572,3.8727e-06
1981-02-09,0.0,265.64,269.57507,262.86508,4.9168e-06
1981-02-10,0.0,266.22,270.73404,260.78403,4.4289e-06
1981-02-11,6.77205e-06,263.7,264.59656,262.91656,4.2253e-06
1981-02-12,5.883966e-07,269.17,270.98688,266.71686,4.558e-06
1981-02-13,0.0,271.34,275.3564,269.15643,3.5417e-06
1981-02-14,0.00026670634,271.84,272.75842,270.53842,4.5803e-06
1981-02-15,5.322915e-06,265.7,268.44485,263.35486,4.77e-06
1981-02-16,1.6298709e-05,267.3,269.2993,266.44928,7.2375e-06
1981-02-17,0.0,264.66,271.1002,260.77017,6.0437e-06
1981-02-18,0.0,262.94,269.61798,257.36798,6.8231e-06
1981-02-19,0.0,272.04,276.1107,260.8407,7.8076e-06
1981-02-20,0.0,273.89,277.68604,269.61603,6.5866e-06
1981-02-21,0.0,271.69,277.8174,265.6274,6.1657e-06
1981-02-22,0.0,269.54,275.99673,266.41672,5.0895e-06
1981-02-23,0.0,270.91,274.29504,265.46506,5.2111e-06
1981-02-24,3.4958753e-06,272.27,274.27393,271.2939,6.2445e-06
1981-02-25,0.0,272.2,277.67365,263.72363,5.5271e-06
