time,pr,tas,tasmax,tasmin,evspsblpot
1981-01-01,0.0,271.86038,274.038,266.2409,2.9460653e-06
1981-01-02,0.0,274.61023,279.12357,270.86423,6.444663e-06
1981-01-03,0.0,279.41614,281.96597,272.68982,1.6858043e-05
1981-01-04,0.0,276.2675,281.37607,272.44754,4.8258125e-06
1981-01-05,7.443808e-05,273.6436,276.72842,272.06378,1.07778615e-05
1981-01-06,0.0,271.86972,275.34824,267.5285,3.446122e-06
1981-01-07,0.0,268.3903,272.5749,266.79282,7.919103e-06
1981-01-08,0.0,265.8577,270.28442,262.00504,6.1336495e-06
1981-01-09,0.0,264.34753,271.0797,260.39926,2.3485202e-06
1981-01-10,0.0,264.39633,271.13623,258.07693,3.5659202e-06
1981-01-11,0.0,267.0028,269.66495,261.03076,3.4722223e-06
1981-01-12,0.0,269.75977,275.01294,267.75833,4.6296295e-06
1981-01-13,0.0,270.53116,272.84988,265.7366,2.9530734e-06
1981-01-14,0.00010065833,268.21225,274.73242,261.4761,4.542329e-06
1981-01-15,0.0,271.58633,276.06705,263.45087,5.5346304e-06
1981-01-16,0.0,269.369,276.31592,264.91568,4.6296295e-06
1981-01-17,0.0,269.776,276.76233,264.2901,4.484709e-06
1981-01-18,0.0,269.22424,275.0612,263.451,2.7718856e-06
1981-01-19,0.0,271.86417,277.369,266.3266,6.0108027e-06
1981-01-20,1.2771901e-06,270.717,275.7859,266.64462,4.0883965e-06
1981-01-21,4.2123297e-08,272.73026,276.2031,266.4658,9.545781e-06
1981-01-22,0.0,271.3883,274.30612,269.3417,7.844643e-06
1981-01-23,0.0,267.67526,274.8072,264.5351,3.7477319e-06
1981-01-24,0.0,269.28183,275.55923,262.60367,4.6296295e-06
1981-01-25,0.0,270.26627,273.6061,265.21722,4.2581923e-06
1981-01-26,0.0,272.485,277.92416,269.92258,8.106186e-06
1981-01-27,3.2173507e-06,269.91666,275.26016,265.63757,1.0670717e-05
1981-01-28,0.0,268.35242,274.027,262.93628,8.101852e-06
1981-01-29,0.0,270.33286,277.16,261.9172,7.792938e-06
1981-01-30,0.0,272.05795,279.09564,270.16757,6.5135227e-06
1981-01-31,0.0,271.96957,279.0367,265.7912,6.7835667e-06
1981-02-01,0.0,276.33163,283.85403,268.12006,6.4045e-06
1981-02-02,0.0,276.5957,286.22556,268.38318,9.155405e-06
1981-02-03,0.0,279.32108,286.23944,270.10092,1.8785671e-05
1981-02-04,0.0,278.81702,282.1001,277.13272,1.328949e-05
1981-02-05,7.417732e-06,275.44077,281.23526,272.22537,9.011211e-06
1981-02-06,0.0,273.5874,279.16617,268.1833,9.624729e-06
1981-02-07,0.0,277.09845,282.70847,271.4655,9.337889e-06
1981-02-08,0.0,278.12408,288.22388,273.0162,1.0371822e-05
1981-02-09,0.0,276.7929,284.9135,271.27557,1.0036207e-05
1981-02-10,0.0,276.44708,281.28494,271.58295,7.311675e-06
1981-02-11,2.9501089e-05,274.8367,278.54285,273.64548,6.4314836e-06
1981-02-12,3.713991e-05,272.19293,277.3424,269.87506,6.592931e-06
1981-02-13,3.13524e-07,271.3235,276.28433,265.957,8.101852e-06
1981-02-14,0.0,270.37247,274.27,269.22498,9.259259e-06
1981-02-15,0.0,270.80463,275.70615,266.2017,6.888735e-06
1981-02-16,0.0,272.29285,277.61618,266.76813,9.61564e-06
1981-02-17,0.0,271.56665,275.00974,271.48764,8.001631e-06
1981-02-18,0.0,271.16025,274.21234,269.37332,7.0190085e-06
1981-02-19,1.1190144e-05,270.90244,271.95575,269.63202,5.5937426e-06
1981-02-20,1.7613606e-06,271.44525,274.00732,269.3398,6.9444445e-06
1981-02-21,1.2927454e-06,271.53058,273.4598,268.82288,4.9732266e-06
1981-02-22,7.07383e-05,272.48822,273.9979,271.2466,5.1974125e-06
1981-02-23,6.066575e-05,274.34647,275.50775,272.60165,4.6296295e-06
1981-02-24,5.087432e-06,273.9509,274.92807,273.6161,5.6934214e-06
1981-02-25,4.508647e-05,274.214,278.16995,272.48218,9.013523e-06
1981-02-26,0.0,271.16785,276.8492,266.46793,1.0645477e-05
1981-02-27,0.0,270.75885,275.37506,267.04553,8.517814e-06
1981-02-28,0.0,272.7665,275.31216,270.21613,8.669334e-06
1981-03-01,0.0,273.37994,276.50467,271.93585,6.9444445e-06
1981-03-02,1.1054087e-05,274.1937,276.62497,270.38272,5.787037e-06
1981-03-03,7.706306e-05,274.5148,276.23624,273.07358,5.8124187e-06
