location,year,management,fertilization,product,yield
rakican,1993,A,N0,grain,4.954
rakican,1994,A,N0,grain,6.283
rakican,1995,A,N0,grain,6.685
rakican,1996,A,N0,grain,2.884
rakican,1997,A,N0,grain,6.928
rakican,1999,A,N0,grain,4.075
rakican,2000,A,N0,grain,5.536
rakican,2001,A,N0,grain,3.922
rakican,2002,A,N0,grain,9.077
rakican,2003,A,N0,grain,3.241
rakican,2004,A,N0,grain,4.549
rakican,2005,A,N0,grain,6.323
rakican,2006,A,N0,grain,3.766
rakican,2007,A,N0,grain,4.083
rakican,2008,A,N0,grain,5.677
rakican,2009,A,N0,grain,6.639
rakican,2010,A,N0,grain,5.801
rakican,2011,A,N0,grain,5.495
rakican,2012,A,N0,grain,5.559
rakican,2013,A,N0,grain,1.917
rakican,2014,A,N0,grain,5.635
rakican,2015,A,N0,grain,5.132
rakican,2016,A,N0,grain,3.613
rakican,2017,A,N0,grain,5.169
rakican,2018,A,N0,grain,7.686
rakican,2019,A,N0,grain,6.84
rakican,2020,A,N0,grain,7.158
rakican,2021,A,N0,grain,2.351
rakican,2022,A,N0,grain,4.626
rakican,1993,A,N0,straw,5.191
rakican,1994,A,N0,straw,6.587
rakican,1995,A,N0,straw,6.445
rakican,1996,A,N0,straw,3.811
rakican,1997,A,N0,straw,5.466
rakican,1999,A,N0,straw,5.907
rakican,2000,A,N0,straw,3.655
rakican,2001,A,N0,straw,5.406
rakican,2002,A,N0,straw,11.366
rakican,2003,A,N0,straw,5.07
rakican,2004,A,N0,straw,6.24
rakican,2005,A,N0,straw,6.68
rakican,2006,A,N0,straw,4.566
rakican,2007,A,N0,straw,5.128
rakican,2008,A,N0,straw,5.427
rakican,2009,A,N0,straw,6.562
rakican,2010,A,N0,straw,5.851
rakican,2011,A,N0,straw,4.603
rakican,2012,A,N0,straw,8.108
rakican,2013,A,N0,straw,1.944
rakican,2014,A,N0,straw,1.814
rakican,2015,A,N0,straw,8.336
rakican,2016,A,N0,straw,4.117
rakican,2017,A,N0,straw,4.16
rakican,2018,A,N0,straw,9.993
rakican,2019,A,N0,straw,10.587
rakican,2022,A,N0,straw,7.353
rakican,1993,A,N3,grain,5.861
rakican,1994,A,N3,grain,6.139
rakican,1995,A,N3,grain,7.69
rakican,1996,A,N3,grain,8.27
rakican,1997,A,N3,grain,7.188
rakican,1999,A,N3,grain,7.312
rakican,2000,A,N3,grain,6.894
rakican,2001,A,N3,grain,5.923
rakican,2002,A,N3,grain,8.95
rakican,2003,A,N3,grain,2.659
rakican,2004,A,N3,grain,9.137
rakican,2005,A,N3,grain,7.392
rakican,2006,A,N3,grain,10.151
rakican,2007,A,N3,grain,6.32
rakican,2008,A,N3,grain,8.468
rakican,2009,A,N3,grain,10.484
rakican,2010,A,N3,grain,7.523
rakican,2011,A,N3,grain,9.736
rakican,2012,A,N3,grain,5.649
rakican,2013,A,N3,grain,4.783
rakican,2014,A,N3,grain,9.38
rakican,2015,A,N3,grain,7.718
rakican,2016,A,N3,grain,6.856
rakican,2017,A,N3,grain,10.728
rakican,2018,A,N3,grain,12.013
rakican,2019,A,N3,grain,9.486
rakican,2020,A,N3,grain,12.944
rakican,2021,A,N3,grain,7.606
rakican,2022,A,N3,grain,4.462
rakican,1993,A,N3,straw,5.113
rakican,1994,A,N3,straw,5.482
rakican,1995,A,N3,straw,7.685
rakican,1996,A,N3,straw,7.162
rakican,1997,A,N3,straw,5.261
rakican,1999,A,N3,straw,8.306
rakican,2000,A,N3,straw,4.649
rakican,2001,A,N3,straw,7.195
rakican,2002,A,N3,straw,9.064
rakican,2003,A,N3,straw,3.562
rakican,2004,A,N3,straw,7.478
rakican,2005,A,N3,straw,7.912
rakican,2006,A,N3,straw,11.554
rakican,2007,A,N3,straw,7.317
rakican,2008,A,N3,straw,8.802
rakican,2009,A,N3,straw,10.325
rakican,2010,A,N3,straw,7.93
rakican,2011,A,N3,straw,8.35
rakican,2012,A,N3,straw,6.249
rakican,2013,A,N3,straw,4.811
