postaja;datum;tpov;tmin;tmax
8;01.01.1993;-7;-12;-1
8;01.02.1993;-8.6;-14.5;-4.2
8;01.03.1993;-6.1;-9.2;-3.1
8;01.04.1993;-7.2;-9.7;-3.3
8;01.05.1993;-8.7;-13.2;-2.5
8;01.06.1993;-7.3;-15;-1.6
8;01.07.1993;-3.9;-8.8;0.7
8;01.08.1993;-0.4;-6.7;5.4
8;01.09.1993;-1.2;-5.4;1.8
8;01.10.1993;-2.9;-4.8;1.1
8;01.11.1993;3.9;-5.4;7.3
8;01.12.1993;5.1;3.4;7.7
8;01.13.1993;3.7;2.1;6.3
8;01.14.1993;3.1;-0.4;10.9
8;01.15.1993;0.3;-3.3;5.9
8;01.16.1993;1.4;-4;10.7
8;01.17.1993;0.9;-4.5;11.4
8;01.18.1993;0.1;-4.7;5.6
8;01.19.1993;-1.6;-5.9;5
8;01.20.1993;-2.4;-5.7;0.8
8;01.21.1993;-0.6;-6.7;9.5
8;01.22.1993;0.1;-5.1;7.6
8;01.23.1993;1.3;-2.8;6.2
8;01.24.1993;4.6;-2;7.2
8;01.25.1993;6;2.7;9.3
8;01.26.1993;-0.8;-4;6.3
8;01.27.1993;1.6;-7;9.6
8;01.28.1993;0.2;-3.4;2.7
8;01.29.1993;3.6;-0.4;9.7
8;01.30.1993;-2.3;-3.8;2.7
8;01.31.1993;-4.8;-9;0.8
8;02.01.1993;-4.5;-11.7;4.6
8;02.02.1993;-2.9;-9.9;6.1
8;02.03.1993;-1.2;-8.7;9.9
8;02.04.1993;-0.7;-7.8;10.1
8;02.05.1993;1.4;-7.1;14.6
8;02.06.1993;2.8;-6.1;13.4
8;02.07.1993;2.4;-3.7;7.8
8;02.08.1993;1.6;-2;8.7
8;02.09.1993;-0.4;-6;7
8;02.10.1993;-1.3;-6.3;7.1
8;02.11.1993;-1.3;-7.7;7.2
8;02.12.1993;-1.8;-6.8;5.3
8;02.13.1993;-1.8;-6.6;5.5
8;02.14.1993;-3.5;-8.5;-1.2
8;02.15.1993;-0.1;-3.1;3.6
8;02.16.1993;-1.8;-5.8;2.9
8;02.17.1993;-5.1;-9.8;-0.7
8;02.18.1993;-1.7;-8.7;2.7
8;02.19.1993;-1.2;-4.7;4.7
8;02.20.1993;1.8;-4.7;8.2
8;02.21.1993;0.7;-4.7;5.9
8;02.22.1993;-0.9;-3.8;5.7
8;02.23.1993;-2.9;-8.8;2.8
8;02.24.1993;-0.4;-4.1;2
8;02.25.1993;0.6;-3.9;5.9
8;02.26.1993;-2;-6.9;4.9
8;02.27.1993;-0.6;-5;4.4
8;02.28.1993;3.8;-1.9;9.3
8;03.01.1993;0.6;-3.5;4.7
8;03.02.1993;-0.5;-2;2.5
8;03.03.1993;-0.8;-2.8;0.9
8;03.04.1993;-2.5;-4.2;0
8;03.05.1993;-3.7;-8.8;1.3
8;03.06.1993;-2.1;-9.8;4.3
8;03.07.1993;-0.8;-4.8;2.2
8;03.08.1993;-0.2;-6;7.8
8;03.09.1993;1.1;-3.8;8.5
8;03.10.1993;1.3;-6.8;10
8;03.11.1993;3.3;-5.7;12.2
8;03.12.1993;3.9;-3.9;13.5
8;03.13.1993;4;-4.3;13.7
8;03.14.1993;4.4;-4.2;13.6
8;03.15.1993;5.7;-3.8;14.7
8;03.16.1993;5.3;-2.1;16.1
8;03.17.1993;7.3;-1.1;15.5
8;03.18.1993;10.1;0.2;22.6
8;03.19.1993;8.8;2.1;17.7
8;03.20.1993;10.1;-1.5;22.3
8;03.21.1993;10.3;0.3;20.2
8;03.22.1993;10;2.6;16.3
8;03.23.1993;9.2;6.1;14.7
8;03.24.1993;4.1;2.4;9.2
8;03.25.1993;1.3;-0.4;3.8
8;03.26.1993;1.5;-1.3;6.8
8;03.27.1993;2;-4.8;7.4
8;03.28.1993;3;-0.2;7.3
8;03.29.1993;1.8;-1.5;8.2
8;03.30.1993;1.6;-6.3;7.7
8;03.31.1993;4.6;-5.2;12.3
8;04.01.1993;6.7;-2.5;15.4
8;04.02.1993;5.5;-2.5;12.1
8;04.03.1993;2.6;0.4;6.5
8;04.04.1993;4.5;1.2;10.3
8;04.05.1993;6.1;1;13.1
8;04.06.1993;6.7;-0.5;15.8
8;04.07.1993;9.2;-1;17.5
8;04.08.1993;7.8;-0.6;13
8;04.09.1993;6.4;-2.9;15.5
8;04.10.1993;8;-0.2;16.7
8;04.11.1993;4.9;3.3;7.9
8;04.12.1993;3.1;0.7;5.3
8;04.13.1993;6;2.2;10.2
8;04.14.1993;9.5;2.2;15.8
8;04.15.1993;6.6;4.8;10.7
8;04.16.1993;8.6;1.3;16.7
8;04.17.1993;5.4;1.2;12.3
8;04.18.1993;8.4;-1.5;17.3
8;04.19.1993;9.5;4.6;17.4
8;04.20.1993;13.2;5.1;21.3
8;04.21.1993;13;4.4;21.2
8;04.22.1993;13.2;5.2;22.9
8;04.23.1993;12.9;4.2;22.1
8;04.24.1993;13.8;3.3;22.9
8;04.25.1993;13.5;5.2;21.2
8;04.26.1993;15;7.4;23.9
8;04.27.1993;12.8;4.7;19.3
8;04.28.1993;13.5;5.6;21.1
8;04.29.1993;13.7;8.6;23
8;04.30.1993;11;6.5;18.1
8;05.01.1993;11.5;6.2;19.3
8;05.02.1993;11.8;4.9;19.8
8;05.03.1993;13.8;4.5;21.5
8;05.04.1993;13.1;5;22.6
8;05.05.1993;10.9;6.3;14.6
8;05.06.1993;13.4;9.2;18.4
8;05.07.1993;12.2;9.7;19.1
8;05.08.1993;13.1;6.2;20.2
8;05.09.1993;13.2;6.9;20.4
8;05.10.1993;13.5;6;22.2
8;05.11.1993;16.4;7.2;22.5
8;05.12.1993;14.8;6;21.9
8;05.13.1993;13.9;5.7;22.3
8;05.14.1993;15;7.2;22.1
8;05.15.1993;13;7.4;20.9
8;05.16.1993;14.1;9.7;21.6
8;05.17.1993;15.5;9.1;22.9
8;05.18.1993;17.1;6.9;25
8;05.19.1993;17.7;8.4;25.7
8;05.20.1993;18.4;9.7;25.6
8;05.21.1993;17.9;10.2;25.4
8;05.22.1993;16.4;7;23.4
8;05.23.1993;17.3;6.1;24.1
8;05.24.1993;18.5;10.7;23.9
8;05.25.1993;20.6;12.4;26.8
8;05.26.1993;21.8;11.2;29.5
8;05.27.1993;19.8;14.3;25.8
8;05.28.1993;18.4;12.7;25.3
8;05.29.1993;15.1;9.3;21.6
8;05.30.1993;18.6;9.1;26.3
8;05.31.1993;17;13.3;24.3
8;06.01.1993;18.4;8.5;26.2
8;06.02.1993;19.8;10;28.4
8;06.03.1993;13.1;11.5;18.8
8;06.04.1993;15.3;11.5;20.2
8;06.05.1993;18.5;9.8;26.3
8;06.06.1993;20.2;11.3;27.6
8;06.07.1993;20.5;12.8;27.5
8;06.08.1993;21;12.5;27.7
8;06.09.1993;21.6;17.4;26.5
8;06.10.1993;21.6;13.5;28.8
8;06.11.1993;21.2;14.1;27.4
8;06.12.1993;15.8;12.5;23.6
8;06.13.1993;13.5;9.2;17
8;06.14.1993;15;10.2;20.9
8;06.15.1993;15.7;10.9;22.3
8;06.16.1993;17.5;9;23.1
8;06.17.1993;14.3;11.9;21.4
8;06.18.1993;16.7;10.8;22.8
8;06.19.1993;19.4;8.8;27.9
8;06.20.1993;21.9;10.9;28.2
8;06.21.1993;17.2;14.3;22
8;06.22.1993;21.1;13.1;27.8
8;06.23.1993;18.5;14.1;26.7
