Leto;A-N0 Zrnje;A-N0 Slama;A-N3 Zrnje;A-N3 Slama;B-N0 Zrnje;B-N0 Slama;B-N1 Zrnje;B-N1 Slama;B-N2 Zrnje;B-N2 Slama;B-N3 Zrnje;B-N3 Slama;C-N0 Zrnje;C-N0 Slama;C-N1 Zrnje;C-N1 Slama;C-N2 Zrnje;C-N2 Slama;C-N3 Zrnje;C-N3 Slama
1993;6163;10628;7830;11104;7734;11785;7766;11688;8841;12243;8033;12016;6044;10178;7247;10590;6942;8823;7088;9419
1994;5558;9919;10422;15540;6845;10242;7941;11785;10012;15028;10015;15514;6290;8237;8100;12926;9799;15349;10868;15811
1995;6702;8219;12013;13438;7065;9022;8499;9946;11092;12359;11655;12873;7061;7889;9011;11447;10411;11756;10893;12060
1996;2884;3811;8270;7162;3742;4815;6484;4811;7604;5325;8093;6028;5026;4453;7138;6774;8673;6762;9268;7672
1997;4139;4813;10369;8043;5211;4842;9138;8231;10764;8239;10929;8769;3046;3431;7244;6254;9998;7545;10842;9618
1998;2967;3110;8889;6222;2775;3877;7480;6381;9552;6760;9658;7251;3324;4060;7714;6291;9417;7019;9912;6681
1999;2547;3520;9760;10343;2633;4196;4932;6310;8065;7987;9581;9508;2359;3666;4260;5256;8740;9120;10192;11919
2000;3405;4592;10134;8904;4044;6514;7361;8028;9432;8838;10050;9391;4166;6195;7477;8356;9722;9815;10431;10363
2001;2394;2527;6792;7038;2893;2875;4068;6653;6117;7235;6955;7024;2836;2967;3994;5976;6055;7956;7699;8138
2002;5041;3441;12080;7710;6457;4505;8813;5880;9921;6300;12942;7413;5165;3924;6852;5079;9645;7642;11130;9486
2003;4220;6266;7525;7850;5160;6038;6595;8301;6856;8498;7308;8930;4687;5599;6957;9113;6728;7960;7419;7138
2004;426;1601;6108;5447;906;4193;2565;5349;4676;6879;6012;6350;1558;4098;3909;5267;5519;7118;5803;7425
2005;3401;3795;11081;10878;3964;3870;7448;5786;9097;6648;9471;9357;6644;6099;9367;9316;10846;11597;10858;11006
2006;2989;2563;7823;6342;4884;4805;5516;7476;5755;4753;6947;7268;4143;3141;6673;5125;8987;8493;8918;8211
2007;8494;10266;10278;11682;9230;8675;10464;11888;10651;12018;11068;12458;8148;8578;10693;9532;10738;11282;9870;13223
2008;5026;4500;9150;7812;5529;4029;6804;5404;9523;7478;9621;7601;5926;4842;7373;6380;9059;8394;9774;9661
2009;634;2278;5129;2956;1039;3770;2198;4765;3345;5003;6317;6483;1196;1853;1303;2460;3544;4213;4640;3863
2010;1149;1434;7479;4526;2029;1724;5152;3726;7276;3511;7424;3472;2738;2793;6334;5073;8333;5516;8416;5262
2011;4637;4394;9523;8010;4678;4832;7073;7343;9023;8739;9742;12032;4345;5494;6112;7111;9188;8447;9233;8607
2012;3533;3862;10641;5786;4749;3895;6793;6898;7652;5718;10674;7971;3566;2674;5387;4335;9229;5865;10749;6368
2013;2787;10309;7804;11497;3020;8673;5911;9779;6556;10593;7697;9767;3631;8265;6065;11255;7431;10957;8107;12943
2014;8362;6757;10293;11265;7982;8270;10587;8532;11629;11886;11173;9695;6415;5302;9669;8307;9426;9442;11439;11316
2015;1693;3571;10136;5252;3469;3006;7117;5847;9101;5959;10574;7240;1658;3196;5402;6539;8518;5657;9730;6292
2016;2223;2900;9367;8934;3073;3782;5685;6271;9293;9239;10582;10418;1583;1861;5330;5807;8688;8791;9272;9400
2017;4972;4091;8775;5911;6046;3778;8033;5706;9077;7071;9307;7655;5800;5752;8232;5750;8971;6241;9690;7883
2018;5330;6929;8531;8034;5717;6936;8697;9398;9896;9702;9553;9339;4398;5186;6667;7181;8095;8072;8585;8582
2019;4280;4710;11998;7810;4354;4375;7973;5480;10054;6950;11296;8830;3569;3606;4510;3606;11120;7873;12909;7885
2020;5383;5794;13514;13138;7263;9688;10322;12219;13361;14008;16339;16359;5015;5289;7827;10003;11966;13721;14089;11832
2021;1623;2882;11083;10716;2423;3814;6780;5614;9589;7760;12765;11403;5248;3075;7618;6266;8708;8449;8387;8237
2022;3586;6221;5776;9538;4079;7079;4695;9051;4918;9095;5054;10478;4554;7087;4518;7449;5478;9232;5552;8984
2023;6571;8769;12654;12494;6760;9105;10277;12751;11926;12724;15466;15494;6316;9263;8097;11456;10610;12102;12394;11554
