Leto;A-N0    Zrnje;A-N0   slama;A-N3   Zrnje;A-N3 Slama;B-N0    Zrnje;B-N0    Slama;B-N1 Zrnje;B-N1 Slama;B-N2  Zrnje;B-N2  Slama;B-N3  Zrnje;B-N3   Slama;C-N0  Zrnje;C-N0  Slama;C-N1  Zrnje;C-N1   Slama;C-N2  Zrnje;C-N2  Slama;C-N3  Zrnje;C-N3  Slama
1993;4954;5191;5861;5113;5191;5775;5454;5921;6699;7079;5511;6006;5213;5372;5504;5563;6366;5035;6363;5783
1994;6283;6587;6139;5482;6126;6815;4896;6790;6402;6765;6211;6768;5676;5849;6422;6492;5712;4517;5816;5287
1995;6685;6445;7690;7685;6900;6150;7133;5726;7193;5658;7652;6547;6438;6018;6986;6694;6824;5609;7770;6365
1996;2884;3811;8270;7162;3742;4815;6484;4811;7604;5325;8093;6028;5026;4453;7138;6774;8673;6762;9268;7672
1997;6928;5466;7188;5261;8212;7592;8341;7359;8523;6977;8238;7094;7023;5519;7301;5959;7245;5857;7425;5664
1998;;;;;;;;;;;;;;;;;;;;
1999;4075;5907;7312;8306;4631;5905;7738;8264;7946;8098;8038;8568;5904;7537;7413;7987;6456;8297;6960;8383
2000;5536;3655;6894;4649;6779;4252;7468;4379;6280;4479;7885;4441;7013;4265;6673;4949;6578;4923;6621;4042
2001;3922;5406;5923;7195;4632;6528;4617;6956;5150;7123;5143;7205;5426;5803;5464;7549;4926;7069;5608;7461
2002;9077;11366;8950;9064;9675;10103;9084;11269;9059;13115;9506;11759;7447;9905;8886;11016;7669;9941;8814;12395
2003;3241;5070;2659;3562;2928;4710;2627;4888;2850;4522;3533;5405;3211;4503;3117;4792;2601;4559;2263;3884
2004;4549;6240;9137;7478;6807;7495;8332;8619;8920;8261;9651;8771;6407;6578;9285;8774;9469;8879;9742;8511
2005;6323;6680;7392;7912;7685;6879;7418;9533;9278;9755;9755;8798;5191;5838;7047;6706;7761;8306;8360;7912
2006;3766;4566;10151;11554;5610;6231;7860;8883;9950;10928;10146;12725;6602;5941;8145;8664;9731;11609;9163;11238
2007;4083;5128;6320;7317;5125;6243;4854;7152;4796;6330;5139;6795;5823;5277;6267;7667;5786;7466;6552;8163
2008;5677;5427;8468;8802;7233;6130;8651;7107;8677;9311;8866;8832;6166;7954;7814;8130;7996;8295;8172;9916
2009;6639;6562;10484;10325;8148;9094;9712;9005;9109;8696;9753;9216;7277;7619;8137;9282;9484;9360;9844;9996
2010;5801;5851;7523;7930;7229;7276;9319;8301;8998;10666;7506;9957;5444;4751;7887;8018;8179;6307;8439;8356
2011;5495;4603;9736;8350;8190;7736;9166;9094;8812;10037;9773;10274;5604;5073;7531;6485;9255;8370;8797;7603
2012;5559;8108;5649;6249;7137;6862;7109;6607;8319;9192;7673;8154;4986;6544;4438;8785;5673;9800;6128;10940
2013;1917;1944;4783;4811;3048;3162;4641;3361;4257;4343;4813;4806;1750;1308;3990;3254;4234;4230;4815;4251
2014;5635;1814;9380;4153;8246;4491;9437;6394;10369;4935;10241;6764;5953;2041;9225;3926;9780;4275;9585;4229
2015;5132;8336;7718;7089;7962;8254;8724;7051;9371;7244;9237;8618;4787;7622;8030;8356;8369;7011;8325;6955
2016;3613;4117;6856;6448;4499;4579;5712;5591;5640;5533;6223;6189;5665;5707;6219;6285;7475;7040;9310;8905
2017;5169;4160;10728;5474;5156;5457;10106;6217;8485;6163;10002;6607;4595;3367;8896;4390;9225;5262;10687;5284
2018;7686;9993;12013;11313;7538;9146;11012;11899;14556;15251;14066;13751;7819;9221;13667;14721;13071;13035;11414;11409
2019;6840;10587;9486;7356;8308;8525;10357;10014;10222;8268;10915;9337;7092;6696;8635;5686;8758;7670;9810;7045
2020;7158;;12944;;11851;;12095;;12534;;13882;;6116;;9959;;12237;;12985;
2021;2351;;7606;;4231;;4381;;5475;;5520;;4534;;6127;;6409;;6185;
2022;4626;7353;4462;9600;4967;7907;4817;9320;4482;10008;4451;9439;3683;7003;5034;8964;4376;9961;4250;8578
