# Title: Calibrated AquaCrop parameters - Jablje maize site, Slovenia
# Authors: Rok Kuk, Ajda Bleiweis, Tanja Travnikar, Lazar Pavić, Aleš Kolmanič, Nejc Golob, Petra Pantar, Tjaša Pogačar
# Contact: rok.kuk@bf.uni-lj.si
# Date exported: 2026-09-04
# Parameter version: 2.0
# Aquacrop version: 7.1
# Source file: aquacrop_slovenia/parameters_projections_jablje.py
# License: CC BY 4.0
# DOI: 10.5281/zenodo.21829886
parameter,value
maize_params.crop_type,2
maize_params.is_sown,True
maize_params.cycle_determination,0
maize_params.adjust_for_eto,True
maize_params.base_temp,10.0
maize_params.upper_temp,30.0
maize_params.gdd_cycle_length,1184
maize_params.dormancy_eto_threshold,50
maize_params.p_upper_canopy,0.14
maize_params.p_lower_canopy,0.72
maize_params.shape_canopy,2.9
maize_params.p_upper_stomata,0.69
maize_params.shape_stomata,6.0
maize_params.p_upper_senescence,0.69
maize_params.shape_senescence,2.7
maize_params.p_upper_pollination,0.8
maize_params.aeration_stress_threshold,5
maize_params.fertility_stress_calibration,50
maize_params.shape_fertility_canopy_expansion,25
maize_params.shape_fertility_max_canopy,25
maize_params.shape_fertility_water_productivity,25
maize_params.shape_fertility_decline,25
maize_params.cold_stress_for_pollination,10
maize_params.heat_stress_for_pollination,40
maize_params.minimum_growing_degrees_pollination,12.0
maize_params.salinity_threshold_ece,2
maize_params.salinity_max_ece,10
maize_params.salinity_shape_factor,-9
maize_params.salinity_stress_cc,25
maize_params.salinity_stress_stomata,100
maize_params.kc_max,1.05
maize_params.kc_decline,0.3
maize_params.min_rooting_depth,0.3
maize_params.max_rooting_depth,0.47
maize_params.root_expansion_shape,13
maize_params.max_water_extraction_top,0.045
maize_params.max_water_extraction_bottom,0.011
maize_params.soil_evaporation_reduction,50
maize_params.canopy_cover_per_seedling,6.5
maize_params.canopy_regrowth_size,6.5
maize_params.plant_density,85900
maize_params.max_canopy_cover,0.88
maize_params.canopy_growth_coefficient,0.16312
maize_params.canopy_thinning_years,-9
maize_params.canopy_thinning_shape,-9
maize_params.canopy_decline_coefficient,0.11691
maize_params.days_emergence,6
maize_params.days_max_rooting,108
maize_params.days_senescence,107
maize_params.days_maturity,132
maize_params.days_flowering,66
maize_params.days_flowering_length,13
maize_params.days_crop_determinancy,1
maize_params.days_hi_start,61
maize_params.gdd_emergence,20
maize_params.gdd_max_rooting,839
maize_params.gdd_senescence,1046
maize_params.gdd_maturity,1190
maize_params.gdd_flowering,531
maize_params.gdd_flowering_length,147
maize_params.cgc_gdd,0.012494
maize_params.cdc_gdd,0.01
maize_params.gdd_hi_start,410
maize_params.water_productivity,33.7
maize_params.water_productivity_yield_formation,100
maize_params.co2_response_strength,50
maize_params.harvest_index,0.563
maize_params.water_stress_hi_increase,0
maize_params.veg_growth_impact_hi,7.0
maize_params.stomatal_closure_impact_hi,3.0
maize_params.max_hi_increase,15
maize_params.dry_matter_content,90
maize_params.is_perennial,False
maize_params.first_year_min_rooting,0.0
maize_params.assimilate_transfer,0
maize_params.assimilate_storage_days,0
maize_params.assimilate_transfer_percent,0
maize_params.root_to_shoot_transfer_percent,0
maize_params.restart_type,0
maize_params.restart_window_day,0
maize_params.restart_window_month,0
maize_params.restart_window_length,0
maize_params.restart_gdd_threshold,0
maize_params.restart_days_required,0
maize_params.restart_occurrences,0
maize_params.end_type,0
maize_params.end_window_day,0
maize_params.end_window_month,0
maize_params.end_window_years_offset,0
maize_params.end_window_length,0
maize_params.end_gdd_threshold,0
maize_params.end_days_required,0
maize_params.end_occurrences,0
soil_layers[0].thickness,0.35
soil_layers[0].sat,38.3
soil_layers[0].fc,32.2
soil_layers[0].wp,13.2
soil_layers[0].ksat,92.0
soil_layers[0].penetrability,100
soil_layers[0].gravel,0
soil_layers[0].cra,-0.49032
soil_layers[0].crb,0.028511
soil_layers[0].description,Ap 0-35
soil_layers[1].thickness,0.25
soil_layers[1].sat,41.1
soil_layers[1].fc,33.1
soil_layers[1].wp,15.2
soil_layers[1].ksat,116.0
soil_layers[1].penetrability,100
soil_layers[1].gravel,0
soil_layers[1].cra,-0.48816
soil_layers[1].crb,0.139265
soil_layers[1].description,Apl 35-60
